epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.4943,0.96151,0.62986,0.98625,0.73426,0.63881,0.70356,0.45293,0.99913,0.65036,1.02019,0.000273863,0.000273863,0.000273863
2,30.5575,0.99864,0.66057,0.99614,0.72153,0.65029,0.70985,0.44962,1.02248,0.66588,1.0226,0.000442327,0.000442327,0.000442327
3,45.5541,1.01134,0.66444,0.99669,0.7918,0.62301,0.71361,0.46324,0.99182,0.6501,1.01946,0.000500835,0.000500835,0.000500835
4,60.4552,0.96231,0.63115,0.98173,0.78255,0.64998,0.73084,0.47616,0.98372,0.62544,1.01186,0.000338198,0.000338198,0.000338198
5,75.6364,0.95244,0.61797,0.97841,0.74919,0.67762,0.74055,0.48574,0.96448,0.60718,1.00664,0.000173264,0.000173264,0.000173264
