epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.4347,1.0299,0.80029,1.01329,0.74784,0.5712,0.63924,0.39936,1.0667,0.75262,1.04391,0.000271496,0.000271496,0.000271496
2,27.2659,1.06426,0.81901,1.01201,0.62007,0.6095,0.63053,0.39323,1.06603,0.74798,1.04043,0.000440429,0.000440429,0.000440429
3,40.0824,1.05292,0.80964,1.00791,0.69291,0.51871,0.59955,0.37363,1.0658,0.79398,1.04464,0.000499405,0.000499405,0.000499405
4,52.7177,1.03387,0.80809,1.00853,0.66622,0.59801,0.63492,0.39991,1.03867,0.7317,1.03602,0.000338198,0.000338198,0.000338198
5,65.5479,1.02478,0.77994,1.00452,0.6636,0.62077,0.67042,0.42497,1.00726,0.67917,1.0214,0.000173264,0.000173264,0.000173264
